[2024-09-18 00:13:29,871: INFO: main: Hello world]
[2024-09-18 00:15:36,290: INFO: main: Hello world]
[2024-09-18 01:42:57,902: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-18 01:42:57,915: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-18 01:42:57,921: INFO: common: created directory at: artifacts]
[2024-09-18 01:42:57,924: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-18 01:42:57,927: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-18 01:43:10,278: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-18 02:10:37,160: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-09-18 02:10:37,165: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-18 02:10:37,169: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-18 02:10:37,175: INFO: common: created directory at: artifacts]
[2024-09-18 02:10:37,185: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-18 02:10:37,189: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-18 02:10:49,687: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-09-18 02:10:51,414: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
